   1.59063685     -0.918354571     -0.649374723    
   3.20456660E-12   1.83670914     -0.649374723    
   3.20460217E-12   3.20456812E-12   1.94812429    
           1          50           1
  0.142857149      0.142857149       0.00000000    
              (-16.176684529141433,0.0000000000000000)   1.0000000000000000     
     0     3     1  (   0.135076E-01 ,  -0.153323E-01 )
     1     3     1  (   0.907755E-02 ,  -0.116620E-01 )
     2     3     1  (  -0.795591E-03 ,  -0.692510E-03 )
     3     3     1  (  -0.195429E-02 ,   0.625405E-03 )
     4     3     1  (  -0.251573E-03 ,  -0.218980E-03 )
     5     3     1  (   0.103778E-04 ,   0.278324E-04 )
     6     3     1  (  -0.479112E-06 ,  -0.119019E-05 )
     7     3     1  (   0.102419E-04 ,  -0.121176E-04 )
    -4     3     1  (   0.605874E-04 ,  -0.677321E-04 )
    -3     3     1  (  -0.220077E-03 ,   0.243339E-03 )
    -2     3     1  (   0.164398E-03 ,  -0.185915E-03 )
    -1     3     1  (   0.566286E-02 ,  -0.623804E-02 )
     0     4     1  (   0.120091E-02 ,  -0.134031E-02 )
     1     4     1  (   0.200069E-02 ,  -0.216665E-02 )
     2     4     1  (   0.431515E-03 ,  -0.880207E-03 )
     3     4     1  (  -0.251573E-03 ,  -0.218980E-03 )
     4     4     1  (   0.590309E-04 ,  -0.563789E-04 )
     5     4     1  (   0.281896E-04 ,   0.245379E-04 )
     6     4     1  (   0.391175E-05 ,  -0.863327E-05 )
    -3     4     1  (   0.632139E-04 ,  -0.682885E-04 )
    -2     4     1  (  -0.198510E-03 ,   0.207065E-03 )
    -1     4     1  (  -0.206607E-03 ,   0.181687E-03 )
     0     5     1  (  -0.210166E-03 ,   0.236486E-03 )
     1     5     1  (  -0.189384E-03 ,   0.210118E-03 )
     2     5     1  (  -0.103112E-03 ,   0.729841E-04 )
     3     5     1  (   0.103778E-04 ,   0.278324E-04 )
     4     5     1  (   0.281896E-04 ,   0.245379E-04 )
     5     5     1  (   0.205651E-05 ,  -0.183250E-06 )
     6     5     1  (   0.436219E-06 ,   0.379336E-06 )
    -2     5     1  (   0.616492E-04 ,  -0.648045E-04 )
    -1     5     1  (  -0.459401E-04 ,   0.493455E-04 )
     0     6     1  (   0.495881E-04 ,  -0.497711E-04 )
     1     6     1  (   0.105635E-04 ,  -0.830934E-05 )
     2     6     1  (  -0.978459E-05 ,   0.844654E-05 )
     3     6     1  (  -0.479112E-06 ,  -0.119019E-05 )
     4     6     1  (   0.391175E-05 ,  -0.863327E-05 )
     5     6     1  (   0.436219E-06 ,   0.379335E-06 )
    -1     6     1  (   0.344558E-04 ,  -0.384013E-04 )
     2     7     1  (   0.117334E-04 ,  -0.183234E-04 )
     3     7     1  (   0.102419E-04 ,  -0.121176E-04 )
     0    -6     1  (   0.212162E-04 ,  -0.225899E-04 )
    -3    -6     1  (   0.151546E-05 ,  -0.124652E-04 )
    -2    -6     1  (   0.151059E-04 ,  -0.242718E-04 )
    -1    -6     1  (   0.264565E-04 ,  -0.295343E-04 )
     0    -5     1  (  -0.299739E-04 ,   0.431765E-04 )
     1    -5     1  (   0.328027E-04 ,  -0.439495E-04 )
     2    -5     1  (   0.480112E-04 ,  -0.510480E-04 )
    -5    -5     1  (  -0.677693E-05 ,   0.976701E-06 )
    -4    -5     1  (  -0.579356E-05 ,  -0.504351E-05 )
    -3    -5     1  (  -0.400669E-05 ,   0.691379E-05 )
    -2    -5     1  (  -0.265053E-04 ,   0.271832E-04 )
    -1    -5     1  (  -0.390486E-04 ,   0.615365E-04 )
     0    -4     1  (  -0.113640E-03 ,   0.142848E-03 )
     1    -4     1  (  -0.270862E-03 ,   0.287385E-03 )
     2    -4     1  (  -0.862946E-04 ,   0.996932E-04 )
     3    -4     1  (   0.605874E-04 ,  -0.677321E-04 )
    -5    -4     1  (  -0.579356E-05 ,  -0.504351E-05 )
    -4    -4     1  (   0.605959E-05 ,   0.138808E-04 )
    -3    -4     1  (  -0.106357E-04 ,  -0.925316E-05 )
    -2    -4     1  (   0.411352E-04 ,  -0.408666E-04 )
    -1    -4     1  (   0.926150E-04 ,   0.291629E-05 )
     0    -3     1  (   0.373359E-02 ,  -0.474423E-02 )
     1    -3     1  (   0.230005E-02 ,  -0.253277E-02 )
     2    -3     1  (  -0.408856E-04 ,   0.100847E-03 )
     3    -3     1  (  -0.220077E-03 ,   0.243339E-03 )
     4    -3     1  (   0.632139E-04 ,  -0.682885E-04 )
    -6    -3     1  (   0.151546E-05 ,  -0.124652E-04 )
    -5    -3     1  (  -0.400669E-05 ,   0.691379E-05 )
    -4    -3     1  (  -0.106357E-04 ,  -0.925316E-05 )
    -3    -3     1  (  -0.300809E-04 ,  -0.989686E-04 )
    -2    -3     1  (  -0.153723E-03 ,  -0.133876E-03 )
    -1    -3     1  (   0.127641E-02 ,  -0.223989E-02 )
     0    -2     1  (   0.152989E-01 ,  -0.181255E-01 )
     1    -2     1  (   0.190880E-01 ,  -0.205001E-01 )
     2    -2     1  (   0.689369E-02 ,  -0.732240E-02 )
     3    -2     1  (   0.164398E-03 ,  -0.185915E-03 )
     4    -2     1  (  -0.198510E-03 ,   0.207065E-03 )
     5    -2     1  (   0.616492E-04 ,  -0.648045E-04 )
    -6    -2     1  (   0.151059E-04 ,  -0.242718E-04 )
    -5    -2     1  (  -0.265053E-04 ,   0.271832E-04 )
    -4    -2     1  (   0.411352E-04 ,  -0.408666E-04 )
    -3    -2     1  (  -0.153723E-03 ,  -0.133876E-03 )
    -2    -2     1  (  -0.359580E-02 ,   0.145163E-02 )
    -1    -2     1  (  -0.257614E-02 ,  -0.224285E-02 )
     0    -1     1  (   0.247547E-02 ,   0.215385E-02 )
     1    -1     1  (   0.442952E-01 ,  -0.457312E-01 )
     2    -1     1  (   0.282762E-01 ,  -0.300933E-01 )
     3    -1     1  (   0.566286E-02 ,  -0.623804E-02 )
     4    -1     1  (  -0.206607E-03 ,   0.181687E-03 )
     5    -1     1  (  -0.459401E-04 ,   0.493455E-04 )
     6    -1     1  (   0.344558E-04 ,  -0.384013E-04 )
    -6    -1     1  (   0.264565E-04 ,  -0.295343E-04 )
    -5    -1     1  (  -0.390486E-04 ,   0.615365E-04 )
    -4    -1     1  (   0.926150E-04 ,   0.291629E-05 )
    -3    -1     1  (   0.127641E-02 ,  -0.223989E-02 )
    -2    -1     1  (  -0.257614E-02 ,  -0.224285E-02 )
    -1    -1     1  (  -0.187374E-01 ,   0.138818E-01 )
     0     0     2  (  -0.536183E-01 ,   0.599329E-01 )
     1     0     2  (  -0.391861E-01 ,   0.501784E-01 )
     2     0     2  (   0.153893E-02 ,   0.133978E-02 )
     3     0     2  (   0.649634E-02 ,  -0.643921E-02 )
     4     0     2  (   0.879599E-03 ,  -0.882742E-03 )
     5     0     2  (  -0.212404E-03 ,   0.217795E-03 )
     6     0     2  (   0.389791E-04 ,  -0.389913E-04 )
    -5     0     2  (   0.252462E-04 ,  -0.344214E-04 )
    -4     0     2  (  -0.903425E-04 ,   0.895135E-04 )
    -3     0     2  (   0.214842E-03 ,  -0.279537E-03 )
    -2     0     2  (   0.301574E-04 ,   0.261210E-04 )
    -1     0     2  (  -0.158422E-01 ,   0.176518E-01 )
     0     1     2  (  -0.391861E-01 ,   0.501784E-01 )
     1     1     2  (  -0.827625E-01 ,   0.101446     )
     2     1     2  (  -0.339472E-01 ,   0.407643E-01 )
     3     1     2  (   0.509023E-03 ,   0.443313E-03 )
     4     1     2  (   0.150670E-02 ,  -0.166939E-02 )
     5     1     2  (  -0.128242E-03 ,   0.100748E-03 )
     6     1     2  (  -0.205622E-04 ,   0.207203E-04 )
     7     1     2  (   0.196251E-04 ,  -0.246054E-04 )
    -5     1     2  (   0.343464E-04 ,  -0.360187E-04 )
    -4     1     2  (  -0.570418E-04 ,   0.717703E-04 )
    -3     1     2  (   0.459460E-04 ,   0.203518E-04 )
    -2     1     2  (   0.262371E-02 ,  -0.284230E-02 )
    -1     1     2  (   0.521646E-03 ,   0.453927E-03 )
     0     2     2  (   0.153893E-02 ,   0.133978E-02 )
     1     2     2  (  -0.339472E-01 ,   0.407643E-01 )
     2     2     2  (  -0.361567E-01 ,   0.426423E-01 )
     3     2     2  (  -0.102989E-01 ,   0.105992E-01 )
     4     2     2  (  -0.319362E-03 ,  -0.277937E-03 )
     5     2     2  (   0.444911E-04 ,  -0.394565E-04 )
     6     2     2  (  -0.365571E-04 ,   0.480506E-04 )
     7     2     2  (   0.248245E-04 ,  -0.269445E-04 )
    -4     2     2  (   0.236526E-04 ,  -0.262456E-04 )
    -3     2     2  (  -0.240053E-03 ,   0.271822E-03 )
    -2     2     2  (   0.133284E-02 ,  -0.146379E-02 )
    -1     2     2  (   0.750805E-02 ,  -0.752072E-02 )
     0     3     2  (   0.649634E-02 ,  -0.643921E-02 )
     1     3     2  (   0.509023E-03 ,   0.443313E-03 )
     2     3     2  (  -0.102989E-01 ,   0.105992E-01 )
     3     3     2  (  -0.674267E-02 ,   0.553521E-02 )
     4     3     2  (  -0.812299E-03 ,   0.548778E-03 )
     5     3     2  (   0.568189E-04 ,   0.494559E-04 )
     6     3     2  (  -0.149801E-04 ,   0.281233E-04 )
     7     3     2  (   0.138326E-04 ,  -0.143174E-04 )
    -4     3     2  (   0.432264E-04 ,  -0.507782E-04 )
    -3     3     2  (  -0.625235E-04 ,   0.653701E-04 )
    -2     3     2  (  -0.202091E-03 ,   0.208102E-03 )
    -1     3     2  (   0.230772E-02 ,  -0.241928E-02 )
     0     4     2  (   0.879599E-03 ,  -0.882742E-03 )
     1     4     2  (   0.150670E-02 ,  -0.166939E-02 )
     2     4     2  (  -0.319362E-03 ,  -0.277937E-03 )
     3     4     2  (  -0.812299E-03 ,   0.548778E-03 )
     4     4     2  (  -0.113841E-03 ,   0.223539E-03 )
     5     4     2  (   0.289971E-04 ,   0.644133E-05 )
     6     4     2  (   0.249267E-05 ,   0.216967E-05 )
     7     4     2  (  -0.614403E-06 ,  -0.541892E-05 )
    -3     4     2  (   0.589345E-04 ,  -0.598496E-04 )
    -2     4     2  (  -0.100913E-03 ,   0.110450E-03 )
    -1     4     2  (  -0.223124E-03 ,   0.240780E-03 )
     0     5     2  (  -0.212404E-03 ,   0.217795E-03 )
     1     5     2  (  -0.128242E-03 ,   0.100748E-03 )
     2     5     2  (   0.444911E-04 ,  -0.394565E-04 )
     3     5     2  (   0.568189E-04 ,   0.494559E-04 )
     4     5     2  (   0.289971E-04 ,   0.644134E-05 )
     5     5     2  (   0.235897E-04 ,  -0.180833E-04 )
     6     5     2  (  -0.801121E-05 ,   0.506476E-05 )
     7     5     2  (  -0.427157E-05 ,  -0.371807E-05 )
    -2     5     2  (   0.545485E-04 ,  -0.618033E-04 )
    -1     5     2  (  -0.370383E-04 ,   0.362653E-04 )
     0     6     2  (   0.389791E-04 ,  -0.389913E-04 )
     1     6     2  (  -0.205622E-04 ,   0.207203E-04 )
     2     6     2  (  -0.365571E-04 ,   0.480506E-04 )
     3     6     2  (  -0.149801E-04 ,   0.281233E-04 )
     4     6     2  (   0.249267E-05 ,   0.216967E-05 )
     5     6     2  (  -0.801121E-05 ,   0.506476E-05 )
     6     6     2  (  -0.105959E-04 ,  -0.928895E-06 )
    -1     6     2  (   0.375342E-04 ,  -0.367028E-04 )
     1     7     2  (   0.196251E-04 ,  -0.246054E-04 )
     2     7     2  (   0.248245E-04 ,  -0.269445E-04 )
     3     7     2  (   0.138326E-04 ,  -0.143174E-04 )
     4     7     2  (  -0.614403E-06 ,  -0.541892E-05 )
     5     7     2  (  -0.427157E-05 ,  -0.371807E-05 )
     0    -5     2  (   0.252462E-04 ,  -0.344214E-04 )
     1    -5     2  (   0.343464E-04 ,  -0.360187E-04 )
    -3    -5     2  (  -0.674480E-06 ,  -0.587842E-06 )
    -2    -5     2  (   0.284598E-05 ,  -0.760318E-05 )
    -1    -5     2  (   0.109471E-04 ,  -0.178079E-04 )
     0    -4     2  (  -0.903425E-04 ,   0.895135E-04 )
     1    -4     2  (  -0.570418E-04 ,   0.717703E-04 )
     2    -4     2  (   0.236526E-04 ,  -0.262456E-04 )
     3    -4     2  (   0.432264E-04 ,  -0.507782E-04 )
    -4    -4     2  (  -0.773074E-05 ,   0.468779E-05 )
    -3    -4     2  (   0.629475E-05 ,  -0.492134E-05 )
    -2    -4     2  (   0.205545E-04 ,   0.178936E-04 )
    -1    -4     2  (  -0.467194E-04 ,   0.681363E-04 )
     0    -3     2  (   0.214842E-03 ,  -0.279537E-03 )
     1    -3     2  (   0.459460E-04 ,   0.203518E-04 )
     2    -3     2  (  -0.240053E-03 ,   0.271822E-03 )
     3    -3     2  (  -0.625235E-04 ,   0.653701E-04 )
     4    -3     2  (   0.589345E-04 ,  -0.598496E-04 )
